Date,Day,Subscribers,Views,,DeltaSubscriber,DeltaViews,latestGame
9/6/2019,Fri,19,389,stuesports,0,0,League of Legends
9/7/2019,Sat,19,389,stuesports,0,0,League of Legends
9/8/2019,Sun,19,389,stuesports,0,0,League of Legends
9/9/2019,Mon,19,389,stuesports,0,0,League of Legends
9/10/2019,Tue,19,389,stuesports,0,0,League of Legends
9/11/2019,Wed,19,389,stuesports,0,0,League of Legends
9/12/2019,Thu,19,392,stuesports,0,3,League of Legends
9/13/2019,Fri,29,448,stuesports,10,56,League of Legends
9/14/2019,Sat,29,453,stuesports,0,5,League of Legends
9/15/2019,Sun,29,453,stuesports,0,0,League of Legends
9/16/2019,Mon,29,454,stuesports,0,1,League of Legends
9/17/2019,Tue,29,455,stuesports,0,1,League of Legends
9/18/2019,Wed,38,626,stuesports,9,171,League of Legends
9/19/2019,Thu,37,648,stuesports,-1,22,League of Legends
9/20/2019,Fri,41,704,stuesports,4,56,League of Legends
9/21/2019,Sat,41,706,stuesports,0,2,League of Legends
9/22/2019,Sun,41,706,stuesports,0,0,League of Legends
9/23/2019,Mon,41,706,stuesports,0,0,League of Legends
9/24/2019,Tue,41,708,stuesports,0,2,League of Legends
9/25/2019,Wed,42,712,stuesports,1,4,League of Legends
9/26/2019,Thu,42,712,stuesports,0,0,League of Legends
9/27/2019,Fri,43,712,stuesports,1,0,League of Legends
9/28/2019,Sat,43,714,stuesports,0,2,League of Legends
9/29/2019,Sun,43,714,stuesports,0,0,League of Legends
9/30/2019,Mon,52,784,stuesports,9,70,League of Legends
10/1/2019,Tue,52,792,stuesports,0,8,League of Legends
10/2/2019,Wed,55,849,stuesports,3,57,League of Legends
10/3/2019,Thu,55,851,stuesports,0,2,League of Legends
10/4/2019,Fri,56,887,stuesports,1,36,League of Legends
10/5/2019,Sat,56,889,stuesports,0,2,League of Legends
9/6/2019,Fri,14703582,479957513,ninja,-760,10012,U.F.O - Unfortunately Fortunate Organisms
9/7/2019,Sat,14702607,479966810,ninja,-975,9297,U.F.O - Unfortunately Fortunate Organisms
9/8/2019,Sun,14701816,479976310,ninja,-791,9500,U.F.O - Unfortunately Fortunate Organisms
9/9/2019,Mon,14701019,479986432,ninja,-797,10122,U.F.O - Unfortunately Fortunate Organisms
9/10/2019,Tue,14700322,479995036,ninja,-697,8604,U.F.O - Unfortunately Fortunate Organisms
9/11/2019,Wed,14699656,480003896,ninja,-666,8860,U.F.O - Unfortunately Fortunate Organisms
9/12/2019,Thu,14698959,480012564,ninja,-697,8668,U.F.O - Unfortunately Fortunate Organisms
9/13/2019,Fri,14698322,480020815,ninja,-637,8251,U.F.O - Unfortunately Fortunate Organisms
9/14/2019,Sat,14697580,480029397,ninja,-742,8582,U.F.O - Unfortunately Fortunate Organisms
9/15/2019,Sun,14696681,480038204,ninja,-899,8807,U.F.O - Unfortunately Fortunate Organisms
9/16/2019,Mon,14695961,480047113,ninja,-720,8909,U.F.O - Unfortunately Fortunate Organisms
9/17/2019,Tue,14694599,480055156,ninja,-1362,8043,U.F.O - Unfortunately Fortunate Organisms
9/18/2019,Wed,14693918,480062940,ninja,-681,7784,U.F.O - Unfortunately Fortunate Organisms
9/19/2019,Thu,14693138,480070880,ninja,-780,7940,U.F.O - Unfortunately Fortunate Organisms
9/20/2019,Fri,14692492,480078994,ninja,-646,8114,U.F.O - Unfortunately Fortunate Organisms
9/21/2019,Sat,14691714,480087166,ninja,-778,8172,U.F.O - Unfortunately Fortunate Organisms
9/22/2019,Sun,14691301,480100023,ninja,-413,12857,U.F.O - Unfortunately Fortunate Organisms
9/23/2019,Mon,14690489,480107663,ninja,-812,7640,U.F.O - Unfortunately Fortunate Organisms
9/24/2019,Tue,14689756,480115231,ninja,-733,7568,U.F.O - Unfortunately Fortunate Organisms
9/25/2019,Wed,14689351,480123264,ninja,-405,8033,U.F.O - Unfortunately Fortunate Organisms
9/26/2019,Thu,14688956,480132603,ninja,-395,9339,U.F.O - Unfortunately Fortunate Organisms
9/27/2019,Fri,14688632,480140697,ninja,-324,8094,U.F.O - Unfortunately Fortunate Organisms
9/28/2019,Sat,14688279,480149973,ninja,-353,9276,U.F.O - Unfortunately Fortunate Organisms
9/29/2019,Sun,14687894,480158256,ninja,-385,8283,U.F.O - Unfortunately Fortunate Organisms
9/30/2019,Mon,14694658,480165373,ninja,6764,7117,U.F.O - Unfortunately Fortunate Organisms
10/1/2019,Tue,14694067,480172850,ninja,-591,7477,U.F.O - Unfortunately Fortunate Organisms
10/2/2019,Wed,14693629,480180654,ninja,-438,7804,U.F.O - Unfortunately Fortunate Organisms
10/3/2019,Thu,14693051,480187783,ninja,-578,7129,U.F.O - Unfortunately Fortunate Organisms
10/4/2019,Fri,14692568,480194907,ninja,-483,7124,U.F.O - Unfortunately Fortunate Organisms
10/5/2019,Sat,14692020,480201515,ninja,-548,6608,U.F.O - Unfortunately Fortunate Organisms
9/6/2019,Fri,6966926,160703014,tfue,1627,95004,Fortnite
9/7/2019,Sat,6974691,161286212,tfue,7765,583198,Fortnite
9/8/2019,Sun,6978610,161535967,tfue,3919,249755,Fortnite
9/9/2019,Mon,6982047,161813745,tfue,3437,277778,Fortnite
9/10/2019,Tue,6985533,162124498,tfue,3486,310753,Fortnite
9/11/2019,Wed,6989285,162454953,tfue,3752,330455,Fortnite
9/12/2019,Thu,6992164,162729045,tfue,2879,274092,Fortnite
9/13/2019,Fri,6994827,162803138,tfue,2663,74093,Fortnite
9/14/2019,Sat,6995468,162816416,tfue,641,13278,Fortnite
9/15/2019,Sun,6996211,162830186,tfue,743,13770,Fortnite
9/16/2019,Mon,6996730,162840977,tfue,519,10791,Fortnite
9/17/2019,Tue,6996475,162851132,tfue,-255,10155,Fortnite
9/18/2019,Wed,6996963,162860903,tfue,488,9771,Fortnite
9/19/2019,Thu,6997268,162869955,tfue,305,9052,Fortnite
9/20/2019,Fri,6997645,162879965,tfue,377,10010,Fortnite
9/21/2019,Sat,6998220,162890592,tfue,575,10627,Fortnite
9/22/2019,Sun,6998654,162902096,tfue,434,11504,Fortnite
9/23/2019,Mon,6998867,162910429,tfue,213,8333,Fortnite
9/24/2019,Tue,6999118,162918289,tfue,251,7860,Fortnite
9/25/2019,Wed,6999308,162926368,tfue,190,8079,Fortnite
9/26/2019,Thu,6999661,162934008,tfue,353,7640,Fortnite
9/27/2019,Fri,7000588,163021504,tfue,927,87496,Fortnite
9/28/2019,Sat,7001745,163083287,tfue,1157,61783,Fortnite
9/29/2019,Sun,7002277,163091566,tfue,532,8279,Fortnite
9/30/2019,Mon,7002660,163098778,tfue,383,7212,Fortnite
10/1/2019,Tue,7008179,163452462,tfue,5519,353684,Fortnite
10/2/2019,Wed,7011823,163696408,tfue,3644,243946,Fortnite
10/3/2019,Thu,7014855,163914284,tfue,3032,217876,Fortnite
10/4/2019,Fri,7016942,164072840,tfue,2087,158556,Fortnite
10/5/2019,Sat,7018143,164145505,tfue,1201,72665,Fortnite
9/6/2019,Fri,6928628,352280272,shroud,1943,220449,Escape From Tarkov
9/7/2019,Sat,6930282,352644928,shroud,1654,364656,Escape From Tarkov
9/8/2019,Sun,6934508,353010707,shroud,4226,365779,Escape From Tarkov
9/9/2019,Mon,6936617,353242760,shroud,2109,232053,Escape From Tarkov
9/10/2019,Tue,6939015,353527711,shroud,2398,284951,Escape From Tarkov
9/11/2019,Wed,6941601,353751396,shroud,2586,223685,Escape From Tarkov
9/12/2019,Thu,6944797,354068097,shroud,3196,316701,Escape From Tarkov
9/13/2019,Fri,6946790,354270545,shroud,1993,202448,Escape From Tarkov
9/14/2019,Sat,6949377,354657272,shroud,2587,386727,Escape From Tarkov
9/15/2019,Sun,6951462,354942065,shroud,2085,284793,Escape From Tarkov
9/16/2019,Mon,6953939,355215176,shroud,2477,273111,Escape From Tarkov
9/17/2019,Tue,6954422,355305833,shroud,483,90657,Escape From Tarkov
9/18/2019,Wed,6955765,355446436,shroud,1343,140603,Escape From Tarkov
9/19/2019,Thu,6962185,356138471,shroud,6420,692035,Escape From Tarkov
9/20/2019,Fri,6965375,356410224,shroud,3190,271753,Escape From Tarkov
9/21/2019,Sat,6969193,356700722,shroud,3818,290498,Escape From Tarkov
9/22/2019,Sun,6974609,357200027,shroud,5416,499305,Escape From Tarkov
9/23/2019,Mon,6978459,357535044,shroud,3850,335017,Escape From Tarkov
9/24/2019,Tue,6980865,357738139,shroud,2406,203095,Escape From Tarkov
9/25/2019,Wed,6983278,357968880,shroud,2413,230741,Escape From Tarkov
9/26/2019,Thu,6986331,358304017,shroud,3053,335137,Escape From Tarkov
9/27/2019,Fri,6990930,358763323,shroud,4599,459306,Escape From Tarkov
9/28/2019,Sat,6992676,358917974,shroud,1746,154651,Escape From Tarkov
9/29/2019,Sun,6996504,359253531,shroud,3828,335557,Escape From Tarkov
9/30/2019,Mon,6999158,359496865,shroud,2654,243334,Escape From Tarkov
10/1/2019,Tue,7004387,360062693,shroud,5229,565828,Escape From Tarkov
10/2/2019,Wed,7005763,360148602,shroud,1376,85909,Escape From Tarkov
10/3/2019,Thu,7007925,360322933,shroud,2162,174331,Escape From Tarkov
